"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000116882",182.357503753292,-8.67762228268806,0.929154611042678,-9.33926623142967,9.70040310313054e-21,3.23346770104351e-18
"ENSG00000176919",170.823930582031,-4.56209587383076,0.496010963988045,-9.19757062858134,3.66133532167015e-20,1.1768577819654e-17
"ENSG00000109758",192.139537377883,-8.62347073992168,0.941112822230682,-9.16305732556253,5.04473958314739e-20,1.56560883614919e-17
"ENSG00000167711",1809.10989205211,-6.29663697773501,0.695977708192481,-9.0471819766871,1.46705415641653e-19,4.4011624692496e-17
"ENSG00000139269",153.128487506606,-5.87881274575242,0.66153299597215,-8.88665082701319,6.29785396093326e-19,1.8284092144645e-16
"ENSG00000243696",126.7283318433,-4.80602207656874,0.542012020356855,-8.86700275282551,7.51410547623509e-19,2.11334216519112e-16
"ENSG00000142494",144.930829703078,-4.00978106057057,0.459634301301685,-8.72385078575482,2.68897388778047e-18,7.33356514849218e-16
"ENSG00000250056",130.245242669351,-6.88445461901042,0.794484842029724,-8.66530644111753,4.50300133973467e-18,1.19197094287094e-15
"ENSG00000149124",161.41018203068,-9.95111867746211,1.155510217262,-8.61188289709928,7.18702393332331e-18,1.84809186856885e-15
"ENSG00000236882",103.62481689566,-7.25928926446869,0.862755252896927,-8.41407715582574,3.96000018654788e-17,9.9000004663697e-15
"ENSG00000248709",14.1348302227534,-7.71951736652836,0.930832515577108,-8.29313247801869,1.1030437246064e-16,2.68307933012366e-14
"ENSG00000110436",153.007247181873,-5.88037615254194,0.710543508889344,-8.2758846980864,1.27505335635257e-16,3.01986321241399e-14
"ENSG00000165471",180.06944980149,-10.2473660490067,1.23971029470494,-8.26593607617472,1.38602812106363e-16,3.19852643322377e-14
"ENSG00000130173",77.340199750067,-7.44026959811713,0.900566495417986,-8.26176593951991,1.4353294461753e-16,3.22949125389442e-14
"ENSG00000175189",153.628954203069,-8.58968802335393,1.05431097834469,-8.14720533104959,3.72430999861291e-16,8.17531463110152e-14
"ENSG00000106327",1203.43139937956,-5.98166981127016,0.735513144629774,-8.13264841688325,4.20011474562155e-16,9.00024588347474e-14
"ENSG00000243818",18.0833509593021,-8.07788216410184,0.994087584429105,-8.12592601560444,4.43959783008345e-16,9.29218150482583e-14
"ENSG00000113492",106.358939778193,-9.49974512922786,1.17184879277691,-8.10663046954762,5.20428311726709e-16,1.06451245580463e-13
"ENSG00000106804",1259.97862151028,-5.22188215440769,0.645783916600168,-8.08611366770965,6.15987014769658e-16,1.23197402953932e-13
"ENSG00000196600",15.049883417417,-7.97262542742939,0.988582297172604,-8.06470584212514,7.34124144737651e-16,1.43632984839975e-13
"ENSG00000244474",151.45195594547,-9.87203211938942,1.22458527357003,-8.06153097906323,7.53447938556874e-16,1.4427726483004e-13
"ENSG00000169136",1033.82499067598,-2.54560284144217,0.317796609639701,-8.01016362109157,1.14555930877696e-15,2.14792370395679e-13
"ENSG00000129988",1050.88692987685,-7.49401705764886,0.945108985652365,-7.92926230880779,2.20451464625845e-15,4.00109541858526e-13
"ENSG00000162365",186.987794365266,-9.83693617006201,1.24074736086441,-7.92823461112078,2.22283078810292e-15,4.00109541858526e-13
"ENSG00000084734",135.644033017364,-6.61528097932629,0.849166279487685,-7.79032462678263,6.68372495749317e-15,1.17948087485174e-12
"ENSG00000142748",192.340157388562,-5.69508392076089,0.743572165902109,-7.65908701524829,1.87259495347048e-14,3.24102972716045e-12
"ENSG00000198848",1644.12680258466,-4.64668032034419,0.607167604610997,-7.65304387957465,1.96276899328059e-14,3.33300395085383e-12
"ENSG00000257542",13.240929568869,2.9702599340267,0.391808459771305,7.58089791057705,3.43171558841186e-14,5.71952598068643e-12
"ENSG00000138829",85.1382803051312,2.51696629457502,0.334777230006094,7.51833180090893,5.54795595570601e-14,9.07847338206438e-12
"ENSG00000124564",21.1342053100048,-6.89623864146402,0.928255625303262,-7.4292451922508,1.09219124796176e-13,1.75530736279568e-11
"ENSG00000166856",12.6982323383888,-3.59466515123835,0.486461162169431,-7.38941858216906,1.47472234268433e-13,2.32850896213316e-11
